"model","variable","2.5%","50%","97.5%"
"Random","int_coef",0.0179320651977308,0.0285090683583843,0.0476370867007782
"Random","slope_coef",0.65041314211565,0.760195889743948,0.893555349030479
"Random","ref_to_min",1.36290276029883,2.12605210882624,3.26524894009072
"Random","ref_to_max",2.9701789989381,14.1827310145112,64.1129758723161
"Random","min_to_max",2.17930359177604,6.67092338766555,19.6349287418152
"Scaled","int_coef",0.00863369142805914,0.0126026283016541,0.0195390041773329
"Scaled","slope_coef",0.677542127330627,0.774800606140916,0.900524411193254
"Scaled","ref_to_min",1.33408317444271,2.01761567178087,2.91806015318255
"Scaled","ref_to_max",2.75516062354266,11.798349918614,43.1802965367231
"Scaled","min_to_max",2.0652090334927,5.84766964342413,14.7976019287665
"Correlated","int_coef",0.0250200683267698,0.039189531502316,0.066448206886277
"Correlated","slope_coef",0.655584006403605,0.773236286735365,0.916750428567927
"Correlated","ref_to_min",1.27012704720466,2.02886460632454,3.19488631562137
"Correlated","ref_to_max",2.31808737258184,12.0312615882702,59.385527974543
"Correlated","min_to_max",1.82508307065763,5.93004650252229,18.5876810936306
"S.C","int_coef",0.0169329312282953,0.0267014938578102,0.0457918292040258
"S.C","slope_coef",0.663653858402914,0.778537131266971,0.903798635541103
"S.C","ref_to_min",1.32082965012091,1.99108849013341,3.08914713362312
"S.C","ref_to_max",2.66011923369264,11.2618969216711,52.7578947389309
"S.C","min_to_max",2.01397593127204,5.65615088299367,17.0784660553974
